,alpha,beta,delta_m,eta_spin,lam,lamb,mmax,mmin,mpp,mu_chi_1,mu_chi_1_at_0,mu_chi_2,mu_chi_2_at_0,rho_chi_1,rho_chi_2,sigma_chi_1,sigma_chi_1_at_0,sigma_chi_2,sigma_chi_2_at_0,sigma_spin,sigpp,xi_spin
4222,3.3775105,1.252317,6.1071796,0.8511612,0.04126529,5.161335,98.84141,4.6187754,35.31259,0.22607946,0.14881374,0.1030437,0.039653864,-0.6111491,-0.82420397,0.37488732,0.26721522,0.4835084,0.25311932,1.615024,1.7210069,0.8442743
4223,3.6318374,0.30912352,2.5802484,0.88128746,0.020915562,1.8754082,84.48008,5.339528,30.793827,0.8577408,0.08715177,0.05320431,0.20374478,-0.9189116,0.8074676,0.7505268,0.3602608,0.7223727,0.20030254,1.5237459,7.851946,0.970341
4224,3.5541177,1.3342867,3.7396696,0.9735252,0.033896703,4.698683,98.39029,5.596637,34.845264,0.08925714,0.19396007,0.31725332,0.11661276,-0.0013207793,-0.6147522,0.2811551,0.14969414,0.74271566,0.27591503,0.8406934,1.9835159,0.20443565
4225,3.8912535,0.7053325,3.2044458,0.99156463,0.030282825,5.0149555,99.13881,5.414878,35.293148,0.019502483,0.12271154,0.12927599,0.09784814,0.39792955,-0.8458192,0.7375364,0.1660045,0.609256,0.22937387,0.9281175,3.4911532,0.5734487
4226,3.200097,1.4333487,3.1189528,0.5747968,0.058344644,2.5618534,78.83647,5.1080513,34.084236,0.35017222,0.12504882,0.605063,0.09419995,0.05831933,0.2662959,0.39131942,0.07285803,0.009880122,0.076800294,2.5452147,5.325868,0.30722752
4227,3.4632359,0.5139401,2.8665948,0.9761913,0.051401347,3.4910774,88.815994,5.940089,34.758545,0.7876462,0.2195109,0.5102181,0.2575025,-0.9771501,-0.23338401,0.56667495,0.76419294,0.7731354,0.7583301,2.019587,3.887702,0.6519854
4228,3.5816116,0.46567702,3.0670447,0.9717219,0.055201773,3.2830133,87.875244,5.9151115,34.549408,0.83410174,0.21250194,0.35866287,0.22023866,-0.9673065,-0.15416664,0.59181017,0.76001704,0.8204729,0.7652742,1.8562329,4.0567956,0.751792
4229,3.2629805,0.086284876,2.356464,0.8049444,0.08755819,3.0898705,84.863976,5.658848,34.276463,0.6036588,0.21983975,0.34538606,0.047468167,-0.95851684,0.44243455,0.30446002,0.6917273,0.20449188,0.18658796,1.1406703,2.4888134,0.35371628
4230,3.6977062,0.96296763,5.759719,0.803537,0.031705722,3.9775124,76.76897,4.5467606,33.793285,0.26177147,0.115421146,0.57204276,0.24217954,0.9219414,-0.48353797,0.5064184,0.020129116,0.8743422,0.33200192,2.391745,2.238752,0.892007
4231,3.946858,1.2849371,5.5240993,0.87730706,0.009366365,4.416321,83.794785,3.7876658,34.62571,0.53291965,0.23965271,0.5254784,0.08080307,-0.94702697,-0.37650144,0.07103986,0.03421975,0.93579537,0.33966315,3.4260566,3.8108604,0.16273275
4232,3.9697886,1.8588848,7.699477,0.73462856,0.012365906,4.8709946,81.17047,4.536395,32.51947,0.7042085,0.25842512,0.43523717,0.075885445,-0.25547206,0.41315258,0.018647771,0.07655561,0.78311974,0.050111875,3.9425523,2.7782617,0.8032395
4233,3.678845,1.7075243,4.8762765,0.722582,0.015544728,5.4501104,74.823906,4.866376,34.142353,0.13070174,0.12972538,0.052297167,0.05312554,-0.8002771,0.48522615,0.3644517,0.2582274,0.64117116,0.010876289,3.8446522,3.2109466,0.4275086
4234,3.2016354,0.72068286,4.63762,0.9251666,0.058804914,1.4667645,98.497444,4.9015837,34.393715,0.6617894,0.13202311,0.84531504,0.12007156,-0.9793337,-0.69641733,0.9200323,0.60244226,0.63197106,0.5114598,1.3694804,2.3587193,0.15807082
4235,3.506456,0.4101658,4.4909196,0.89662933,0.024434283,4.7280416,71.83442,5.5617557,31.568594,0.76738054,0.19028468,0.056636613,0.005692019,0.87936485,0.5383005,0.12426573,0.2095981,0.30061424,0.09771981,1.6415049,4.7581863,0.8627865
4236,3.4379816,0.34259224,3.7095242,0.8678378,0.0402368,4.6313896,72.96567,5.496767,30.404432,0.47131884,0.18602766,0.100623384,0.0028775039,0.96093166,0.71085155,0.2558779,0.22776437,0.31619343,0.12230056,1.476024,5.981848,0.949167
